原料ID,原料名称,阶段,下一步动作,问题代码,问题详情,主档案 USDA 食物,主档案 FDC ID,主档案状态,主档案入库状态,次级 USDA 档案数,总档案映射数,待审 USDA 候选数,已确认 USDA 候选数,已拒绝 USDA 候选数,最佳候选ID,最佳候选 FDC ID,最佳候选食物,最佳候选分数,最佳候选置信度,Agent 状态,Ingredient 当前来源,Ingredient 当前 externalId
122bd9c9-5fc3-408f-b807-a2cbe6b6011d,青口贝,需要重新查找/导入 USDA 候选,重新查找 USDA 候选，或手动导入 USDA FDC ID,,,,,,,0,0,0,0,0,,,,0,,,,
a096a894-c964-474e-99d0-65bfcc20e8ff,沙丁鱼,需要重新查找/导入 USDA 候选,重新查找 USDA 候选，或手动导入 USDA FDC ID,,,,,,,0,0,0,0,0,,,,0,,,,
d04a0466-bcff-4b76-bdf3-e0d95718f779,鸭心,需要重新查找/导入 USDA 候选,重新查找 USDA 候选，或手动导入 USDA FDC ID,,,,,,,0,0,0,0,0,,,,0,,,,
ffef50ee-c786-4985-9ce1-a447d30415ec,鸭胗,需要重新查找/导入 USDA 候选,重新查找 USDA 候选，或手动导入 USDA FDC ID,,,,,,,0,0,0,0,0,,,,0,,,,
95c363e3-8ec9-4507-97f3-7536eec36bd3,薏仁米,需要重新查找/导入 USDA 候选,重新查找 USDA 候选，或手动导入 USDA FDC ID,,,,,,,0,0,0,0,0,,,,0,,,,
7f3985db-ea12-49a1-8ff7-8d196e018b28,鹌鹑蛋,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Egg, quail, whole, fresh, raw",172191,生 / 整体 / 未加工,VERIFIED,0,1,1,0,0,339ba997-889e-4cae-a458-8e63fbb93e39,172191,"Egg, quail, whole, fresh, raw",0.87,HIGH,,USDA,172191
150f1238-375a-40a4-a41a-46836a400759,巴旦木,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Nuts, almonds",170567,干 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,344c01bf-d281-4b91-aad2-054de5619d55,170568,"Nuts, almonds, blanched",0.87,HIGH,,USDA,170567
11b57ce1-1e24-432a-87a4-230bad0a453c,巴西坚果,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Nuts, brazilnuts, dried, unblanched",170569,干 / 标准可食部 / 未加工,VERIFIED,0,1,1,0,0,b75024a5-5fab-4519-8cbf-bd3163c13535,170569,"Nuts, brazilnuts, dried, unblanched",0.87,HIGH,,USDA,170569
65116a1d-b26d-4c4d-96b7-d01d0b72321f,白萝卜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Radishes, oriental, raw",168451,生 / 标准可食部 / 未加工,VERIFIED,1,2,1,0,0,6a90f9e6-5afb-444a-bb4d-4f3a4aeca2b1,168451,"Radishes, oriental, raw",0.98,HIGH,COMPLETED,USDA,168451
2fe3160a-d025-4432-a43e-56f6198fe425,白蘑菇,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Mushrooms, white, raw",169251,生 / 标准可食部 / 未加工,VERIFIED,1,2,0,0,0,,,,0,,,USDA,169251
0d74f165-d928-4b11-9ed0-d8ed36580e52,白芝麻,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Seeds, sesame seed kernels, dried (decorticated)",169412,干 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,4c2999da-3885-4323-8307-d23f9c7786de,170150,"Seeds, sesame seeds, whole, dried",0.87,HIGH,,USDA,169412
8e16edd0-9463-4dfc-b28f-36cd6feca1e6,比目鱼,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Fish, flatfish (flounder and sole species), raw",174196,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,187c14f4-0f53-4cdd-a83d-a86cb7d48993,174196,"Fish, flatfish (flounder and sole species), raw",0.95,HIGH,,USDA,174196
232f7522-78e2-4a4a-83e5-55feebddb618,菠菜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Spinach, raw",168462,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,191d1e49-54ea-482e-be78-ce2620272b5c,168462,"Spinach, raw",0.98,HIGH,COMPLETED,USDA,168462
