食谱名称,食谱状态,版本,原料,当前营养档案,当前生熟,设计器原选营养档案,原选生熟,处理建议,食谱行ID
燕麦米比目鱼鸭肉,PRIVATE_CUSTOM,2,南瓜,南瓜（生）,生,南瓜（水煮沥干，不加盐）,熟,可按设计意图修复,5c11007b-f456-455c-bca3-ebf2d2ac7263
燕麦米比目鱼鸭肉,PRIVATE_CUSTOM,2,西葫芦,西葫芦（带皮，生）,生,西葫芦（带皮，水煮沥干，不加盐）,熟,可按设计意图修复,5c11007b-f456-455c-bca3-ebf2d2ac7263
财宝的定制20260911,PRIVATE_CUSTOM,2,南瓜,南瓜（生）,生,南瓜（水煮沥干，不加盐）,熟,可按设计意图修复,0b60e85c-c5ef-4bf9-b06e-9c45495ebbb2
财宝的定制20260911,PRIVATE_CUSTOM,2,大米,大米（长粒白米，生，未强化）,生,米饭（长粒白米，熟，不加盐，未强化）,熟,可按设计意图修复,0b60e85c-c5ef-4bf9-b06e-9c45495ebbb2
财宝的定制20260911,PRIVATE_CUSTOM,2,土豆,土豆（去皮，生）,生,土豆（去皮，水煮）,熟,可按设计意图修复,0b60e85c-c5ef-4bf9-b06e-9c45495ebbb2
财宝的定制20260911,PRIVATE_CUSTOM,2,紫薯,紫薯（去皮，生）,生,紫薯（去皮，蒸熟）,熟,可按设计意图修复,0b60e85c-c5ef-4bf9-b06e-9c45495ebbb2
鸭肉梨,PRIVATE_CUSTOM,2,白蘑菇,白蘑菇（生）,生,白蘑菇（水煮沥干，不加盐）,熟,可按设计意图修复,742bb54d-90e1-4a53-9b79-771034f04634
秋葵藜麦米牛肉鸡胸,PRIVATE_CUSTOM,3,大米,大米（长粒白米，生，未强化）,生,米饭（长粒白米，熟，不加盐，未强化）,熟,可按设计意图修复,aa1e27d6-b76f-4abd-bd97-d409bc0b131e
秋葵藜麦米牛肉鸡胸,PRIVATE_CUSTOM,3,土豆,土豆（去皮，生）,生,土豆（去皮，水煮）,熟,可按设计意图修复,aa1e27d6-b76f-4abd-bd97-d409bc0b131e
秋葵藜麦米牛肉鸡胸,PRIVATE_CUSTOM,3,西兰花,西兰花（生）,生,西兰花（水煮沥干，不加盐）,熟,可按设计意图修复,aa1e27d6-b76f-4abd-bd97-d409bc0b131e
秋葵藜麦米牛肉鸡胸,PRIVATE_CUSTOM,3,秋葵,秋葵（生）,生,秋葵（水煮沥干，不加盐）,熟,可按设计意图修复,aa1e27d6-b76f-4abd-bd97-d409bc0b131e
秋葵藜麦米牛肉鸡胸,PRIVATE_CUSTOM,3,胡萝卜,胡萝卜（生）,生,胡萝卜（水煮沥干，不加盐）,熟,可按设计意图修复,aa1e27d6-b76f-4abd-bd97-d409bc0b131e
燕麦鳕鱼猪肉,PUBLIC,3,猪里脊,（空）,—,鲜猪里脊（纯瘦，生）,生,可按设计意图修复,8e2e4f42-2359-4e93-a9fa-e98de4cb85f4
