原料,条目数,涉及食谱数,当前用到的档案状态,当前文案口径分布,不一致类型,你拍板：按生重还是熟重称（生/熟/两种都有）
红薯,96,22,RAW/COOKED,熟制称重:36 生重:60,A2 生档案+写熟制口径:36 A1 熟档案+写生重:60,
南瓜,80,33,RAW/COOKED,熟制称重:73 生重:7,A2 生档案+写熟制口径:73 A1 熟档案+写生重:7,
西兰花,80,16,COOKED/RAW,未写口径:28 熟制称重:2 生重:50,A3 熟档案+未写口径:28 A2 生档案+写熟制口径:2 A1 熟档案+写生重:50,
小米,64,26,RAW/COOKED,熟制称重:45 生重:19,A2 生档案+写熟制口径:45 A1 熟档案+写生重:19,
糙米,59,24,RAW,熟制称重:59,A2 生档案+写熟制口径:59,
胡萝卜,51,28,COOKED/RAW,生重:16 熟制称重:35,A1 熟档案+写生重:16 A2 生档案+写熟制口径:35,
红甜椒,33,11,RAW/COOKED,熟制称重:20 生重:13,A2 生档案+写熟制口径:20 A1 熟档案+写生重:13,
大米,30,14,RAW,熟制称重:30,A2 生档案+写熟制口径:30,
山药,27,17,RAW,熟制称重:27,A2 生档案+写熟制口径:27,
紫甘蓝,22,9,COOKED/RAW,生重:21 熟制称重:1,A1 熟档案+写生重:21 A2 生档案+写熟制口径:1,
芦笋,20,16,RAW,熟制称重:20,A2 生档案+写熟制口径:20,
鸡心,18,2,COOKED,生重:18,A1 熟档案+写生重:18,
卷心菜,18,2,COOKED,生重:18,A1 熟档案+写生重:18,
白萝卜,18,2,COOKED,生重:18,A1 熟档案+写生重:18,
秋葵,16,5,COOKED/RAW,生重:14 熟制称重:2,A1 熟档案+写生重:14 A2 生档案+写熟制口径:2,
紫薯,15,7,RAW/COOKED,熟制称重:3 未写口径:12,A2 生档案+写熟制口径:3 A3 熟档案+未写口径:12,
土豆,15,8,RAW,熟制称重:15,A2 生档案+写熟制口径:15,
娃娃菜,15,5,COOKED,生重:15,A1 熟档案+写生重:15,
白蘑菇,12,5,COOKED,生重:12,A1 熟档案+写生重:12,
藜麦,12,7,COOKED,生重:12,A1 熟档案+写生重:12,
鸡胸,11,7,COOKED,生重:11,A1 熟档案+写生重:11,
花椰菜,11,2,COOKED,生重:11,A1 熟档案+写生重:11,
上海青,10,5,COOKED,未写口径:10,A3 熟档案+未写口径:10,
青口贝,10,5,COOKED,生重:10,A1 熟档案+写生重:10,
鲜香菇,9,5,COOKED,生重:9,A1 熟档案+写生重:9,
绿豆芽,9,4,COOKED,生重:9,A1 熟档案+写生重:9,
四季豆,8,3,RAW,熟制称重:8,A2 生档案+写熟制口径:8,
鸡蛋,8,5,COOKED,生重:8,A1 熟档案+写生重:8,
西葫芦,8,3,RAW,熟制称重:8,A2 生档案+写熟制口径:8,
鸡肝,6,3,COOKED,生重:6,A1 熟档案+写生重:6,
羽衣甘蓝,6,2,COOKED,未写口径:2 生重:4,A3 熟档案+未写口径:2 A1 熟档案+写生重:4,
三文鱼,6,4,COOKED,生重:6,A1 熟档案+写生重:6,
菠菜,4,2,COOKED,未写口径:4,A3 熟档案+未写口径:4,
猪肾,4,2,COOKED,未写口径:4,A3 熟档案+未写口径:4,
猪心,4,2,COOKED,生重:4,A1 熟档案+写生重:4,
青花鱼,4,2,COOKED,生重:4,A1 熟档案+写生重:4,
红小豆,3,3,COOKED,生重:3,A1 熟档案+写生重:3,
猪肝,3,2,COOKED,生重:3,A1 熟档案+写生重:3,
兔里脊,3,2,COOKED,生重:3,A1 熟档案+写生重:3,
牛心,3,2,COOKED,生重:3,A1 熟档案+写生重:3,
鸡胗,2,1,COOKED,未写口径:2,A3 熟档案+未写口径:2,
鳕鱼颈背肉,2,1,COOKED,未写口径:2,A3 熟档案+未写口径:2,
生蚝,2,1,COOKED,生重:2,A1 熟档案+写生重:2,
西芹,2,1,COOKED,未写口径:2,A3 熟档案+未写口径:2,
黑米,2,1,COOKED,未写口径:2,A3 熟档案+未写口径:2,
鸭蛋,1,1,COOKED,未写口径:1,A3 熟档案+未写口径:1,
大豆,1,1,COOKED,未写口径:1,A3 熟档案+未写口径:1,
鹿腿肉,1,1,COOKED,生重:1,A1 熟档案+写生重:1,
