表,食谱,状态,原料,营养档案,改前,改后
正式食谱,创伤恢复+红胡子(牛肉版),DRAFT,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,燕麦米青花鱼鸭肉,DRAFT,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,（咖喱定制）创伤恢复+红胡子 (新版本),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,糙米三文鱼猪里脊(烟花),PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,糙米三文鱼猪里脊(烟花),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,秋菊 的鲜食食谱 06/28,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 06/28,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 06/28,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,紫薯黑米猪里脊,DRAFT,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,柠檬茶 的鲜食食谱 09/06,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,TT 的鲜食食谱 07/05,PRIVATE_CUSTOM,红小豆,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
